lens_make,lens_model,lens_type,lens_crop_factor,lens_dist_model,lens_dist_focal,lens_dist_a,lens_dist_b,lens_dist_c,lens_dist_k1,lens_dist_k2,lens_dist_k3,Corner Radius
Canon,Canon EF 16-35mm f/2.8L III USM,,1,ptlens,35,0,0.00728713,0,,,,0.6180945044
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,16,0.01687424,-0.03208409,-0.028794159,,,,1.352081728
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,17,0.018424526,-0.03643579,-0.020559887,,,,1.272547509
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,18,0.017495247,-0.034459507,-0.015300327,,,,1.201850425
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,20,0.016731535,-0.032388456,-0.009986979,,,,1.081665383
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,22,0.014761182,-0.027130847,0.005742111,,,,0.983332166
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,24,0.014413616,-0.026361848,-0.00090247203,,,,0.9013878189
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,26,0.012561258,-0.021763202,-0.00027483905,,,,0.8320502943
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,28,0.010246756,-0.016053859,-0.000953533,,,,0.7726181305
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,30,0.010323046,-0.017679968,0.0047651725,,,,0.7211102551
Canon,Canon EF 16-35mm f/2.8L USM,,1,ptlens,35,0.0070163863,-0.010468312,0.0030782963,,,,0.6180945044
Canon,Canon EF 16-35mm f/4L IS USM,,1,ptlens,16,0.01401,-0.04843,0.02163,,,,1.352081728
Canon,Canon EF 16-35mm f/4L IS USM,,1,ptlens,20,0.01376,-0.04636,0.03937,,,,1.081665383
Canon,Canon EF 16-35mm f/4L IS USM,,1,ptlens,24,0.00341,-0.00465,-0.00013,,,,0.9013878189
Canon,Canon EF 16-35mm f/4L IS USM,,1,ptlens,28,0.01077,-0.02955,0.03254,,,,0.7726181305
Canon,Canon EF 16-35mm f/4L IS USM,,1,ptlens,35,0.0031,-0.00518,0.01054,,,,0.6180945044
Canon,Canon EF 17-35mm f/2.8L USM,,1,ptlens,17,0.020618,-0.051946,0,,,,1.272547509
